GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME
7453.3494,615411,112,82,2018-04-06 00:00:00,876.4841
2460.0364,615412,112,30,2018-04-06 00:00:00,283.31
5076.0839,615413,112,34,2018-04-06 00:00:00,667.5909
5867.6669,615414,112,42,2018-04-06 00:00:00,707.7064
8621.5297,615415,112,50,2018-04-06 00:00:00,626.4863
14205.3731,615416,112,67,2018-04-06 00:00:00,1168.4423
410.0502,616401,112,4,2018-04-06 00:00:00,44.8275
311.9589,617301,112,6,2018-04-06 00:00:00,160.9443
1109.4322,617401,112,16,2018-04-06 00:00:00,191.4523
2081.8421,619301,112,13,2018-04-06 00:00:00,186.025
937.061,619302,112,9,2018-04-06 00:00:00,113.6745
1406.4362,619401,112,6,2018-04-06 00:00:00,169.6114
3762.0434,619402,112,22,2018-04-06 00:00:00,440.7766
8.8299,620302,112,1,2018-04-06 00:00:00,1.7056
709.1732,620303,112,3,2018-04-06 00:00:00,92.6574
393.5999,620304,112,2,2018-04-06 00:00:00,140.9151
3326.9824,601401,112,37,2018-04-06 00:00:00,719.7891
4210.0341,602301,112,18,2018-04-06 00:00:00,259.5383
2693.6615,602302,112,13,2018-04-06 00:00:00,174.9469
4401.7456,602401,112,20,2018-04-06 00:00:00,241.9162
3388.5869,602402,112,13,2018-04-06 00:00:00,194.1564
315.2215,604301,112,2,2018-04-06 00:00:00,33.0
1948.0581,604401,112,12,2018-04-06 00:00:00,347.7902
2647.27,606101,112,25,2018-04-06 00:00:00,326.173
959.4377,606201,112,8,2018-04-06 00:00:00,213.7375
989.7646,607301,112,10,2018-04-06 00:00:00,186.3613
1483.3606,607302,112,16,2018-04-06 00:00:00,122.3582
2396.0442,607303,112,19,2018-04-06 00:00:00,214.1322
1864.0769,607304,112,14,2018-04-06 00:00:00,186.8894
2451.8908,607401,112,18,2018-04-06 00:00:00,203.4211
2214.4945,607402,112,11,2018-04-06 00:00:00,188.4201
1464.7925,607403,112,11,2018-04-06 00:00:00,207.5249
985.9012,607404,112,8,2018-04-06 00:00:00,115.7076
490.354,608301,112,10,2018-04-06 00:00:00,44.0601
1026.3282,608401,112,14,2018-04-06 00:00:00,142.9335
11.9224,609301,112,1,2018-04-06 00:00:00,1.1378
881.702,610101,112,5,2018-04-06 00:00:00,97.9063
1538.7162,610102,112,12,2018-04-06 00:00:00,88.6043
2520.1709,610103,112,15,2018-04-06 00:00:00,191.8979
2315.1055,610104,112,17,2018-04-06 00:00:00,358.1894
2258.2171,610105,112,12,2018-04-06 00:00:00,291.2017
4254.2557,610106,112,24,2018-04-06 00:00:00,358.687
11072.1878,610201,112,63,2018-04-06 00:00:00,1180.2736
6349.703,610202,112,34,2018-04-06 00:00:00,572.5499
8838.0014,610203,112,54,2018-04-06 00:00:00,1096.4993
6415.5094,610204,112,40,2018-04-06 00:00:00,616.5102
6328.8475,610205,112,34,2018-04-06 00:00:00,416.5663
4310.0768,611101,112,34,2018-04-06 00:00:00,358.9562
3302.598,611102,112,29,2018-04-06 00:00:00,362.8397
2465.4274,611103,112,28,2018-04-06 00:00:00,329.5709
1717.7619,611104,112,23,2018-04-06 00:00:00,239.7905
3839.8996,611105,112,23,2018-04-06 00:00:00,644.6
5768.6547,611106,112,49,2018-04-06 00:00:00,768.3952
6675.1115,611201,112,71,2018-04-06 00:00:00,1061.4638
3306.4534,611202,112,31,2018-04-06 00:00:00,334.8562
2508.861,611203,112,31,2018-04-06 00:00:00,336.7153
514.6143,649201,112,5,2018-04-06 00:00:00,77.7004
1119.2201,650101,112,12,2018-04-06 00:00:00,75.222
601.6307,650201,112,5,2018-04-06 00:00:00,69.828
1432.2352,651301,112,10,2018-04-06 00:00:00,96.4168
328.3617,651401,112,2,2018-04-06 00:00:00,158.2869
504.6104,652301,112,3,2018-04-06 00:00:00,30.074
2087.9455,652401,112,12,2018-04-06 00:00:00,168.6406
18028.8442,655301,112,121,2018-04-06 00:00:00,1947.9277
13730.2849,655302,112,82,2018-04-06 00:00:00,911.907
14934.1522,655303,112,117,2018-04-06 00:00:00,1051.6219
8658.1812,655401,112,33,2018-04-06 00:00:00,512.164
8480.2769,655402,112,46,2018-04-06 00:00:00,683.124
5499.9909,655403,112,34,2018-04-06 00:00:00,801.6355
630.6903,657301,112,8,2018-04-06 00:00:00,103.819
549.679,657401,112,4,2018-04-06 00:00:00,130.9137
2405.2802,658301,112,18,2018-04-06 00:00:00,236.092
11.9491,658401,112,1,2018-04-06 00:00:00,1.7882
562.7158,659101,112,5,2018-04-06 00:00:00,76.6391
1708.5753,659102,112,30,2018-04-06 00:00:00,174.1325
96.6439,659201,112,1,2018-04-06 00:00:00,4.5403
2068.8878,660301,112,39,2018-04-06 00:00:00,337.8319
10659.8225,660302,112,96,2018-04-06 00:00:00,1816.6126
5551.9822,660303,112,122,2018-04-06 00:00:00,1220.3399
3593.5091,660402,112,12,2018-04-06 00:00:00,520.659
665.5511,612105,112,4,2018-04-06 00:00:00,65.6547
2487.0618,612106,112,25,2018-04-06 00:00:00,184.3267
1617.2147,612201,112,9,2018-04-06 00:00:00,123.2784
686.8113,612202,112,5,2018-04-06 00:00:00,43.1634
2371.9007,612203,112,16,2018-04-06 00:00:00,402.1515
2095.0998,612204,112,20,2018-04-06 00:00:00,147.9944
2928.9026,612205,112,27,2018-04-06 00:00:00,381.2796
1685.1405,612206,112,10,2018-04-06 00:00:00,173.9159
10794.0667,613101,112,63,2018-04-06 00:00:00,1149.0582
4593.4543,613102,112,27,2018-04-06 00:00:00,394.6796
1103.0955,613103,112,19,2018-04-06 00:00:00,136.2685
3448.9914,613104,112,26,2018-04-06 00:00:00,293.248
3440.957,613105,112,19,2018-04-06 00:00:00,373.9301
1777.432,613106,112,10,2018-04-06 00:00:00,140.5875
3397.282,613107,112,16,2018-04-06 00:00:00,306.1222
1931.3379,613201,112,12,2018-04-06 00:00:00,144.951
809.4109,613202,112,5,2018-04-06 00:00:00,68.2328
2628.2797,613203,112,14,2018-04-06 00:00:00,214.4293
4362.6425,613204,112,28,2018-04-06 00:00:00,499.0027
344.9741,613205,112,4,2018-04-06 00:00:00,22.8823
2661.9686,613206,112,19,2018-04-06 00:00:00,253.6156
3793.93,613207,112,24,2018-04-06 00:00:00,358.5765
17107.2739,615301,112,92,2018-04-06 00:00:00,1139.3712
21684.7288,615302,112,116,2018-04-06 00:00:00,1916.4905
6843.055,615303,112,56,2018-04-06 00:00:00,613.613
4737.3213,615304,112,36,2018-04-06 00:00:00,435.3879
2331.2255,615305,112,27,2018-04-06 00:00:00,227.3987
7082.4641,615306,112,70,2018-04-06 00:00:00,715.4779
1756.8038,615307,112,13,2018-04-06 00:00:00,115.4572
2363.7969,615308,112,19,2018-04-06 00:00:00,243.648
2731.1629,615309,112,26,2018-04-06 00:00:00,195.5068
1086.6839,615310,112,5,2018-04-06 00:00:00,90.4539
6408.4967,615311,112,40,2018-04-06 00:00:00,478.6692
3861.0831,615312,112,41,2018-04-06 00:00:00,380.6943
1556.0596,615313,112,14,2018-04-06 00:00:00,180.5203
5626.9977,615314,112,36,2018-04-06 00:00:00,406.0559
3576.3936,615315,112,22,2018-04-06 00:00:00,246.0171
4891.5465,615316,112,38,2018-04-06 00:00:00,452.3087
4449.3482,615401,112,30,2018-04-06 00:00:00,452.9002
2116.2098,615402,112,12,2018-04-06 00:00:00,166.8326
5035.4399,662402,112,37,2018-04-06 00:00:00,676.2344
909.1475,662403,112,13,2018-04-06 00:00:00,146.25
2001.4917,662404,112,15,2018-04-06 00:00:00,219.5519
725.4056,663101,112,14,2018-04-06 00:00:00,172.4409
936.2521,663201,112,27,2018-04-06 00:00:00,205.113
2488.6978,664101,112,30,2018-04-06 00:00:00,286.6966
1930.1719,664201,112,24,2018-04-06 00:00:00,221.8318
2182.4426,665301,112,15,2018-04-06 00:00:00,213.6745
